system,system_label,multiplicity,multiplicity_label,state_label,global_state_number,excitation_energy_ev,nto_filename,nto_path,pair_index,pair_weight,cumulative_weight,orbital_role,orbital_label,recommended_cube_basename
pdi,Parent PDI,singlet,Singlet,S1,1,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,1,0.95548,0.95548,hole,99a,pdi_S1_nto_pair1_hole.cub
pdi,Parent PDI,singlet,Singlet,S1,1,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,1,0.95548,0.95548,electron,100a,pdi_S1_nto_pair1_electron.cub
pdi,Parent PDI,triplet,Triplet,T1,1,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,1,0.908209,0.908209,hole,99a,pdi_T1_nto_pair1_hole.cub
pdi,Parent PDI,triplet,Triplet,T1,1,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,1,0.908209,0.908209,electron,100a,pdi_T1_nto_pair1_electron.cub
pdi,Parent PDI,triplet,Triplet,T1,1,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,2,0.041624,0.949833,hole,98a,pdi_T1_nto_pair2_hole.cub
pdi,Parent PDI,triplet,Triplet,T1,1,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,2,0.041624,0.949833,electron,101a,pdi_T1_nto_pair2_electron.cub
pdi,Parent PDI,triplet,Triplet,T1,1,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,3,0.028193,0.9780260000000001,hole,97a,pdi_T1_nto_pair3_hole.cub
pdi,Parent PDI,triplet,Triplet,T1,1,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,3,0.028193,0.9780260000000001,electron,102a,pdi_T1_nto_pair3_electron.cub
pdi,Parent PDI,triplet,Triplet,T2,2,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,1,0.496971,0.496971,hole,99a,pdi_T2_nto_pair1_hole.cub
pdi,Parent PDI,triplet,Triplet,T2,2,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,1,0.496971,0.496971,electron,100a,pdi_T2_nto_pair1_electron.cub
pdi,Parent PDI,triplet,Triplet,T2,2,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,2,0.432008,0.928979,hole,98a,pdi_T2_nto_pair2_hole.cub
pdi,Parent PDI,triplet,Triplet,T2,2,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,2,0.432008,0.928979,electron,101a,pdi_T2_nto_pair2_electron.cub
pdi,Parent PDI,triplet,Triplet,T2,2,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,3,0.025521,0.9545,hole,97a,pdi_T2_nto_pair3_hole.cub
pdi,Parent PDI,triplet,Triplet,T2,2,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,3,0.025521,0.9545,electron,102a,pdi_T2_nto_pair3_electron.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,S1,1,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,1,0.955154,0.955154,hole,139a,pdi_terminal_functionalized_S1_nto_pair1_hole.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,S1,1,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,1,0.955154,0.955154,electron,140a,pdi_terminal_functionalized_S1_nto_pair1_electron.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T1,1,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,1,0.908678,0.908678,hole,139a,pdi_terminal_functionalized_T1_nto_pair1_hole.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T1,1,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,1,0.908678,0.908678,electron,140a,pdi_terminal_functionalized_T1_nto_pair1_electron.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T1,1,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,2,0.042051,0.9507289999999999,hole,138a,pdi_terminal_functionalized_T1_nto_pair2_hole.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T1,1,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,2,0.042051,0.9507289999999999,electron,141a,pdi_terminal_functionalized_T1_nto_pair2_electron.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T2,2,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,1,0.491758,0.491758,hole,139a,pdi_terminal_functionalized_T2_nto_pair1_hole.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T2,2,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,1,0.491758,0.491758,electron,140a,pdi_terminal_functionalized_T2_nto_pair1_electron.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T2,2,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,2,0.438266,0.930024,hole,138a,pdi_terminal_functionalized_T2_nto_pair2_hole.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T2,2,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,2,0.438266,0.930024,electron,141a,pdi_terminal_functionalized_T2_nto_pair2_electron.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T2,2,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,3,0.025009,0.9550329999999999,hole,137a,pdi_terminal_functionalized_T2_nto_pair3_hole.cub
pdi_terminal_functionalized,Terminal-functionalized PDI,triplet,Triplet,T2,2,2.935,pdi_terminal_functionalized_T2_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t2/pdi_terminal_functionalized_T2_nto.mwfn,3,0.025009,0.9550329999999999,electron,142a,pdi_terminal_functionalized_T2_nto_pair3_electron.cub
