system,source_file,line,extremum_type,x,y,z,esp_value,raw_line
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,3,minimum,-6.986352,3.443465,-0.002166,-0.04902076,1 -0.04902076   -1.333923  -30.761020      -6.986352   3.443465  -0.002166
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,4,minimum,-6.983137,-3.442856,-0.005394,-0.04902005,2 -0.04902005   -1.333903  -30.760571      -6.983137  -3.442856  -0.005394
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,5,minimum,-5.945539,-0.012236,-1.892238,0.01056332,3  0.01056332    0.287443    6.628591      -5.945539  -0.012236  -1.892238
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,6,minimum,-6.053296,-0.002687,1.859161,0.01055305,4  0.01055305    0.287163    6.622147      -6.053296  -0.002687   1.859161
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,7,minimum,-3.295829,-2.126946,1.953611,0.00742971,5  0.00742971    0.202173    4.662217      -3.295829  -2.126946   1.953611
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,8,minimum,-3.261736,1.99539,2.002123,0.00742619,6  0.00742619    0.202077    4.660007      -3.261736   1.995390   2.002123
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,9,minimum,-3.258265,2.131905,-1.961168,0.00737262,7  0.00737262    0.200619    4.626394      -3.258265   2.131905  -1.961168
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,10,minimum,-3.160329,-1.993099,-2.01113,0.00738251,8  0.00738251    0.200888    4.632597      -3.160329  -1.993099  -2.011130
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,11,minimum,-1.938364,0.011955,-1.965469,0.01405527,9  0.01405527    0.382463    8.819823      -1.938364   0.011955  -1.965469
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,12,minimum,-1.979077,-0.0124,1.943299,0.01416685,10  0.01416685    0.385499    8.889838      -1.979077  -0.012400   1.943299
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,13,minimum,1.904581,0.016957,-1.957675,0.01417017,11  0.01417017    0.385590    8.891922       1.904581   0.016957  -1.957675
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,14,minimum,1.995137,-0.010546,1.950922,0.01405094,12  0.01405094    0.382346    8.817107       1.995137  -0.010546   1.950922
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,15,minimum,3.190119,-1.992797,-2.010179,0.00742548,13  0.00742548    0.202057    4.659561       3.190119  -1.992797  -2.010179
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,16,minimum,3.210997,2.120122,-1.979536,0.00743676,14  0.00743676    0.202364    4.666639       3.210997   2.120122  -1.979536
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,17,minimum,3.318494,-2.127922,1.950698,0.00737926,15  0.00737926    0.200800    4.630561       3.318494  -2.127922   1.950698
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,18,minimum,3.314371,2.10498,1.975422,0.00737902,16  0.00737902    0.200793    4.630412       3.314371   2.104980   1.975422
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,19,minimum,5.958375,-0.011598,-1.891304,0.01053917,17  0.01053917    0.286785    6.613436       5.958375  -0.011598  -1.891304
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,20,minimum,5.997104,0.010502,1.869011,0.01051665,18  0.01051665    0.286173    6.599302       5.997104   0.010502   1.869011
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,21,minimum,6.983132,-3.443218,-0.034141,-0.04903218,*   19 -0.04903218   -1.334233  -30.768182       6.983132  -3.443218  -0.034141
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,22,minimum,6.992188,3.426221,-0.037432,-0.04902777,20 -0.04902777   -1.334113  -30.765417       6.992188   3.426221  -0.037432
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,26,maximum,-7.884733,0.015418,0.009944,0.0624384,*    1  0.06243840    1.699035   39.180722      -7.884733   0.015418   0.009944
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,27,maximum,-4.398997,-0.003566,-1.654382,0.03325713,2  0.03325713    0.904972   20.869180      -4.398997  -0.003566  -1.654382
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,28,maximum,-4.406523,-0.003566,1.64545,0.03330444,3  0.03330444    0.906260   20.898871      -4.406523  -0.003566   1.645450
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,29,maximum,-2.10061,-1.066982,1.695898,0.01651402,4  0.01651402    0.449369   10.362712      -2.100610  -1.066982   1.695898
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,30,maximum,-2.103345,-0.934512,-1.74893,0.01647314,5  0.01647314    0.448257   10.337059      -2.103345  -0.934512  -1.748930
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,31,maximum,-2.070553,0.936378,1.738273,0.01648015,6  0.01648015    0.448448   10.341459      -2.070553   0.936378   1.738273
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,32,maximum,-2.163379,0.980465,-1.725738,0.01651583,7  0.01651583    0.449419   10.363850      -2.163379   0.980465  -1.725738
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,33,maximum,0.016212,-4.520202,-0.010639,0.0583974,8  0.05839740    1.589074   36.644951       0.016212  -4.520202  -0.010639
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,34,maximum,0.062783,0.026176,-1.677894,0.02767934,9  0.02767934    0.753193   17.369060       0.062783   0.026176  -1.677894
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,35,maximum,-0.0042,-0.016122,1.663225,0.02782091,10  0.02782091    0.757045   17.457900      -0.004200  -0.016122   1.663225
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,36,maximum,0.047302,4.520138,0.010253,0.05835367,11  0.05835367    1.587884   36.617511       0.047302   4.520138   0.010253
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,37,maximum,2.133414,-1.067048,1.696054,0.01651553,12  0.01651553    0.449410   10.363658       2.133414  -1.067048   1.696054
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,38,maximum,2.131937,-0.933656,-1.745259,0.01654754,13  0.01654754    0.450282   10.383749       2.131937  -0.933656  -1.745259
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,39,maximum,2.112466,0.984609,-1.725738,0.01655584,14  0.01655584    0.450507   10.388953       2.112466   0.984609  -1.725738
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,40,maximum,2.131898,1.040571,1.709443,0.01651971,15  0.01651971    0.449524   10.366284       2.131898   1.040571   1.709443
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,41,maximum,4.362539,-0.003566,-1.65562,0.03330141,16  0.03330141    0.906178   20.896970       4.362539  -0.003566  -1.655620
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,42,maximum,4.393365,0.028403,1.644104,0.03322245,17  0.03322245    0.904029   20.847422       4.393365   0.028403   1.644104
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,43,maximum,7.878873,0.030652,0.022545,0.06242828,18  0.06242828    1.698760   39.174373       7.878873   0.030652   0.022545
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,3,minimum,-7.128563,0.971631,4.079438,-0.00380407,1 -0.00380407   -0.103514   -2.387090      -7.128563   0.971631   4.079438
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,4,minimum,-7.191392,1.043396,-4.383294,-0.00372425,2 -0.00372425   -0.101342   -2.337007      -7.191392   1.043396  -4.383294
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,5,minimum,-6.639147,-1.823059,-3.294408,-0.00370006,3 -0.00370006   -0.100684   -2.321823      -6.639147  -1.823059  -3.294408
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,6,minimum,-6.61032,-1.870559,2.941865,-0.00372579,4 -0.00372579   -0.101384   -2.337969      -6.610320  -1.870559   2.941865
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,7,minimum,-6.531101,3.751433,-0.054162,-0.04815586,*    5 -0.04815586   -1.310388  -30.218287      -6.531101   3.751433  -0.054162
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,8,minimum,-6.334051,-3.922512,-0.221518,-0.04651394,6 -0.04651394   -1.265709  -29.187961      -6.334051  -3.922512  -0.221518
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,9,minimum,-3.345269,2.107807,-2.12362,0.00196998,7  0.00196998    0.053606    1.236181      -3.345269   2.107807  -2.123620
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,10,minimum,-3.219698,1.969281,1.83578,0.00196541,8  0.00196541    0.053482    1.233317      -3.219698   1.969281   1.835780
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,11,minimum,-3.112004,-2.143588,1.797874,0.00246289,9  0.00246289    0.067019    1.545489      -3.112004  -2.143588   1.797874
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,12,minimum,-3.119771,-2.014148,-2.183851,0.00245382,10  0.00245382    0.066772    1.539799      -3.119771  -2.014148  -2.183851
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,13,minimum,-2.193088,-2.27778,1.786565,0.00283138,11  0.00283138    0.077046    1.776719      -2.193088  -2.277780   1.786565
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,14,minimum,-1.90382,-0.019679,-2.143334,0.00855115,12  0.00855115    0.232689    5.365935      -1.903820  -0.019679  -2.143334
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,15,minimum,-1.930965,-0.018439,1.771277,0.00862776,13  0.00862776    0.234773    5.414006      -1.930965  -0.018439   1.771277
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,16,minimum,1.927804,-0.021524,-2.150901,0.00863771,14  0.00863771    0.235044    5.420250       1.927804  -0.021524  -2.150901
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,17,minimum,1.902923,-0.018439,1.762784,0.00854239,15  0.00854239    0.232450    5.360433       1.902923  -0.018439   1.762784
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,18,minimum,2.167249,2.218492,-2.19077,0.00281281,16  0.00281281    0.076541    1.765068       2.167249   2.218492  -2.190770
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,19,minimum,3.126383,2.03214,-2.204524,0.00246244,17  0.00246244    0.067007    1.545209       3.126383   2.032140  -2.204524
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,20,minimum,3.094073,2.085472,1.778289,0.00244668,18  0.00244668    0.066578    1.535317       3.094073   2.085472   1.778289
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,21,minimum,3.224343,-2.015657,-2.19212,0.00199273,19  0.00199273    0.054225    1.250456       3.224343  -2.015657  -2.192120
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,22,minimum,3.230128,-2.015089,1.783637,0.00193915,20  0.00193915    0.052767    1.216833       3.230128  -2.015089   1.783637
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,23,minimum,5.880462,-1.27197,-3.656513,-0.00353176,21 -0.00353176   -0.096104   -2.216212       5.880462  -1.271970  -3.656513
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,24,minimum,6.145359,-1.085819,-4.036426,-0.00352765,22 -0.00352765   -0.095992   -2.213634       6.145359  -1.085819  -4.036426
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,25,minimum,6.363357,3.880007,-0.255143,-0.04651249,23 -0.04651249   -1.265669  -29.187054       6.363357   3.880007  -0.255143
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,26,minimum,6.493737,-3.794977,-0.226277,-0.04815153,24 -0.04815153   -1.310270  -30.215566       6.493737  -3.794977  -0.226277
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,27,minimum,6.63118,1.766532,3.086229,-0.00364756,25 -0.00364756   -0.099255   -2.288878       6.631180   1.766532   3.086229
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,28,minimum,7.121925,-1.020783,-4.463681,-0.00373586,26 -0.00373586   -0.101658   -2.344290       7.121925  -1.020783  -4.463681
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,29,minimum,7.165185,-1.00682,4.017117,-0.00378638,27 -0.00378638   -0.103033   -2.375990       7.165185  -1.006820   4.017117
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,33,maximum,-10.15131,-0.032253,-1.104727,0.01503201,1  0.01503201    0.409042    9.432736     -10.151310  -0.032253  -1.104727
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,34,maximum,-10.149079,-0.018439,0.882877,0.01500518,2  0.01500518    0.408312    9.415899     -10.149079  -0.018439   0.882877
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,35,maximum,-8.379316,-0.940177,4.365813,0.01313781,3  0.01313781    0.357498    8.244110      -8.379316  -0.940177   4.365813
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,36,maximum,-8.46344,-0.903653,-4.63203,0.013202,4  0.01320200    0.359245    8.284388      -8.463440  -0.903653  -4.632030
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,37,maximum,-8.021918,-2.857377,-2.149679,0.00098596,5  0.00098596    0.026829    0.618699      -8.021918  -2.857377  -2.149679
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,38,maximum,-8.016732,-2.865657,1.830435,0.00094552,6  0.00094552    0.025729    0.593324      -8.016732  -2.865657   1.830435
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,39,maximum,-7.743989,2.324858,-2.940782,0.00682994,7  0.00682994    0.185852    4.285853      -7.743989   2.324858  -2.940782
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,40,maximum,-7.690105,2.270022,2.778688,0.00676413,8  0.00676413    0.184061    4.244558      -7.690105   2.270022   2.778688
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,41,maximum,-4.429653,-0.157113,1.5392,0.02730674,9  0.02730674    0.743054   17.135254      -4.429653  -0.157113   1.539200
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,42,maximum,-4.413618,-0.150425,-1.873888,0.02721729,10  0.02721729    0.740620   17.079124      -4.413618  -0.150425  -1.873888
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,43,maximum,-2.197114,-0.954764,-1.923411,0.01068867,11  0.01068867    0.290854    6.707248      -2.197114  -0.954764  -1.923411
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,44,maximum,-2.16152,-0.933494,1.561756,0.01071996,12  0.01071996    0.291705    6.726885      -2.161520  -0.933494   1.561756
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,45,maximum,-2.183211,0.905195,1.563909,0.0106753,13  0.01067530    0.290490    6.698860      -2.183211   0.905195   1.563909
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,46,maximum,-2.167662,1.060672,-1.877498,0.01063335,14  0.01063335    0.289348    6.672533      -2.167662   1.060672  -1.877498
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,47,maximum,-0.039463,-0.010814,-1.861676,0.0216457,15  0.02164570    0.589010   13.582896      -0.039463  -0.010814  -1.861676
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,48,maximum,-0.012479,0.012362,1.482342,0.02162667,16  0.02162667    0.588492   13.570950      -0.012479   0.012362   1.482342
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,49,maximum,-0.032349,4.501467,-0.140451,0.05325668,*   17  0.05325668    1.449188   33.419102      -0.032349   4.501467  -0.140451
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,50,maximum,0.075817,-4.529422,-0.157337,0.05317788,18  0.05317788    1.447044   33.369650       0.075817  -4.529422  -0.157337
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,51,maximum,2.098453,0.907621,-1.946186,0.01072169,19  0.01072169    0.291752    6.727970       2.098453   0.907621  -1.946186
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,52,maximum,2.163836,-0.956815,-1.932327,0.01072384,20  0.01072384    0.291810    6.729316       2.163836  -0.956815  -1.932327
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,53,maximum,2.179953,-0.954761,1.532954,0.01064678,21  0.01064678    0.289714    6.680959       2.179953  -0.954761   1.532954
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,54,maximum,2.166813,1.028619,1.513114,0.01075184,22  0.01075184    0.292573    6.746890       2.166813   1.028619   1.513114
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,55,maximum,4.346482,0.005879,1.472317,0.02731142,23  0.02731142    0.743182   17.138190       4.346482   0.005879   1.472317
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,56,maximum,4.421481,0.102002,-1.922832,0.02714875,24  0.02714875    0.738755   17.036112       4.421481   0.102002  -1.922832
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,57,maximum,7.724362,-2.311898,-3.073143,0.00685747,25  0.00685747    0.186601    4.303133       7.724362  -2.311898  -3.073143
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,58,maximum,7.756683,-2.324285,2.592837,0.00676803,26  0.00676803    0.184167    4.247007       7.756683  -2.324285   2.592837
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,59,maximum,7.994571,2.834326,1.772726,0.00099918,27  0.00099918    0.027189    0.626994       7.994571   2.834326   1.772726
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,60,maximum,8.082916,2.821386,-2.209044,0.00091479,28  0.00091479    0.024893    0.574040       8.082916   2.821386  -2.209044
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,61,maximum,8.418155,0.907621,-4.712764,0.01316285,29  0.01316285    0.358179    8.259822       8.418155   0.907621  -4.712764
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,62,maximum,8.454603,0.940338,4.228819,0.01317063,30  0.01317063    0.358391    8.264701       8.454603   0.940338   4.228819
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,63,maximum,10.133317,-0.003963,-1.216661,0.01501788,31  0.01501788    0.408657    9.423868      10.133317  -0.003963  -1.216661
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,64,maximum,10.145328,-0.014111,0.773011,0.01502404,32  0.01502404    0.408825    9.427733      10.145328  -0.014111   0.773011
